artist_kr,artist_slug,title,medium,dimensions,date,auction_house,sale_name,lot,price,estimate,url
"박서보","park-seo-bo","ECRITURE NO. 910120, 1991","mixed media with Hanji on canvas","97 x 130.5 cm","2020년 7월 10일","Sotheby's • Hong Kong","Contemporary Art Day Sale","Lot 564","Bought In","HK$600,000–HK$800,000 (est)","/auction-result/6425203"
"박서보","park-seo-bo","Écriture. No","pigment print","39.7 x 52 cm. (15 5/8 x 20 1/2 in.)","2019년 11월 26일","Christie's","Contemporary Art Asia: Art on the Runway","Lot 3484","HK$7,500 • US$958","HK$6,000–HK$8,000 (est)","/auction-result/6934837"
"박서보","park-seo-bo","Ecriture No.25-73, 1973","pencil and oil on canvas","135 x 134 cm","2019년 11월 23일","Christie's • Hong Kong","20th Century & Contemporary Art Evening Sale","Lot 18","HK$4,685,000 • US$601,764","HK$3,500,000–HK$4,500,000 (est)","/auction-result/682980"
"박서보","park-seo-bo","ECRITURE NO. 90-85, 1985","pencil and oil on cotton","162 x 130 cm","2019년 10월 6일","Sotheby's • Hong Kong","Contemporary Art Evening Sale","Lot 1153","HK$4,000,000 • US$510,221","HK$3,500,000–HK$5,500,000 (est)","/auction-result/6396892"
"박서보","park-seo-bo","Écriture. No","pigment print","20 1/2 x 15 5/8 in.","2019년 5월 28일","Christie's","Contemporary Art Asia","Lot 7011","HK$9,375 • US$1,194","HK$6,000–HK$8,000 (est)","/auction-result/6921631"
"박서보","park-seo-bo","Écriture. No. 060224, 1931","pigment print","20 1/2 x 15 5/8 in.","2019년 5월 21일","Christie's • Hong Kong","Contemporary Art Asia","Lot 7086","","HK$6,000–HK$8,000 (est)","/auction-result/587548"
"김창열","kim-tschang-yeul","Untitled (BBV 08005), 2006","oil on canvas","116.8 x 91.0 cm","2026년 3월 28일","Christie's","Live Auction 23845 20th Century Day Sale","Lot 148","","HK$300,000–HK$500,000 (est)","/auction-result/7310705"
"김창열","kim-tschang-yeul","Sans titre, 2003","oil on canvas","88.5 x 116.0 cm","2025년 9월 30일","Christie's","Live Auction 24288 Collection Daniel Abadie, Une vie d'artistes","Lot 33","€57,150 • US$67,041","€30,000–€50,000 (est)","/auction-result/7285366"
"김창열","kim-tschang-yeul","Water Drops, 2000","oil on hemp cloth","259.0 x 388.0 cm","2025년 9월 29일","Sotheby's","Modern & Contemporary Day Auction","Lot 115","HK$1,778,000 • US$228,522","HK$1,200,000–HK$2,200,000 (est)","/auction-result/7288043"
"김창열","kim-tschang-yeul","Recurrence SH93034, 1993","oil and acrylic on hemp cloth","115 x 90 cm. (45 1/4 x 35 3/8 in.)","2025년 9월 28일","Phillips • Hong Kong","Modern & Contemporary Art Day Sale","Lot 168","HK$580,500 • US$74,626","HK$220,000–HK$420,000 (est)","/auction-result/7283351"
"김창열","kim-tschang-yeul","Gouttes d’eau (No. S. 7), 1975","oil on hemp cloth","100.0 x 100.0 cm","2025년 9월 27일","Christie's","Live Auction 23394 20th Century Day Sale","Lot 123","HK$2,667,000 • US$342,857","HK$600,000–HK$800,000 (est)","/auction-result/7284296"
"김창열","kim-tschang-yeul","Waterdrops, 2003","oil on canvas","27 x 22 cm (10 5/8 x 8 5/8 in.)","2025년 4월 10일","Phillips • London","New Now: Modern & Contemporary Art","Lot 23","£24,130 • US$30,921","£10,000–£15,000 (est)","/auction-result/7256140"
"김창열","kim-tschang-yeul","Untitled (Waterdrops), 1974","oil on linen","100.5 x 100.1 cm","2025년 3월 29일","Christie's","Live Auction 23391 20th Century Day Sale","Lot 241","HK$1,260,000 • US$161,903","HK$1,000,000–HK$1,500,000 (est)","/auction-result/7255580"
"김창열","kim-tschang-yeul","Waterdrops, 2002","oil on hemp cloth","27.4 x 22 cm (10 3/4 x 8 5/8 in.)","2025년 3월 7일","Phillips • London","Modern & Contemporary Art Day Sale","Lot 187","£38,100 • US$49,193","£10,000–£15,000 (est)","/auction-result/7249850"
"김창열","kim-tschang-yeul","Waterdrops, 1983","oil and India ink on canvas","73.0 x 59.8 cm","2024년 12월 5일","Sotheby's","Modern & Contemporary Art","Lot 245","€45,600 • US$47,936","€40,000–€60,000 (est)","/auction-result/7235519"
"김창열","kim-tschang-yeul","Waterdrops, 2003","acrylic and ink on newspaper","50.2 x 33.5 cm","2024년 10월 10일","Sotheby's","Contemporary Day Auction","Lot 154","£9,600 • US$12,544","£8,000–£12,000 (est)","/auction-result/7222726"
"김창열","kim-tschang-yeul","Recurrence BK201202, 2011","acrylic and oil on canvas","97.0 x 162.2 cm","2024년 9월 27일","Christie's","Live Auction 21649 20th Century Day Sale","Lot 124","HK$441,000 • US$56,687","HK$300,000–HK$500,000 (est)","/auction-result/7217323"
"김창열","kim-tschang-yeul","Untitled, 1983","Oil on hemp cloth","60.0 x 73.0 cm","2024년 6월 4일","Lempertz","Modern and Contemporary Art - Evening Sale","Lot 64","€126,000 • US$135,606","€100,000–€150,000 (est)","/auction-result/7204145"
"김창열","kim-tschang-yeul","PB 011006, 2011","oil on canvas","38 x 45.2 cm. (14 7/8 x 17 3/4 in.)","2024년 6월 1일","Phillips • Hong Kong","Modern & Contemporary Art Day Sale","Lot 144","HK$330,200 • US$42,228","HK$240,000–HK$450,000 (est)","/auction-result/7200174"
