작가명,작품명,actual_krw,predicted_krw,ape,ratio,ho,career_stage,support_type
이슬아,Going home,3150000.0,1906743.0724535307,0.39468473890364103,0.6053152610963589,15,3,other
박세빈,Refiner’s fire,4329600.0,3058750.11465224,0.2935259343467664,0.7064740656532336,40,2,other
김지윤,Forest beyond the Window,2000000.0,2687033.3684752667,0.3435166842376334,1.3435166842376334,25,2,canvas
박정원,A Rainforest,4000000.0,2589111.7562946416,0.35272206092633956,0.6472779390736604,25,2,canvas
김한나,Calmly,1659680.0,965234.9949683514,0.41842102395139336,0.5815789760486066,2,3,canvas
김민주,Silicone Dream,6130910.0,2960857.333482399,0.5170607082011645,0.4829392917988356,20,2,canvas
김지훈,Dancing Line 230911,8659200.0,4695597.786674837,0.45773307156840853,0.5422669284315914,30,3,canvas
서지인,Rainbow Saunter,533980.0,1012048.956734362,0.8952937502048053,1.8952937502048053,3,2,canvas
박장배,Twilight Flowers,5484160.0,3946553.091574921,0.28037236485169637,0.7196276351483036,25,2,silk
정보영,flowing&pause_2026,4040960.0,2223281.4674889767,0.44981354245303673,0.5501864575469633,10,4,canvas
정보영,Flowing and Pause,44739200.0,19489265.499981225,0.5643805544135517,0.4356194455864482,120,4,canvas
정연지,Sunlit Plaza,4329600.0,2684776.7350401,0.37990189970433763,0.6200981002956624,30,2,canvas
김희조,Subtlety,5772800.0,1430734.1028877893,0.7521594195385621,0.247840580461438,12,2,canvas
백향목,Something Unsaid,28100000.0,9163755.67624768,0.6738876983541752,0.32611230164582494,100,2,canvas
배준현,조화를 키우는 사람 Gardener,6700780.0,10045317.06909244,0.49912652991031486,1.499126529910315,80,2,linen
김바르,Peace flower,2164800.0,2259995.548347631,0.043974292473961105,1.043974292473961,8,3,canvas
키미작,Dance With Me Tonight,10102400.0,9457111.70849847,0.06387475169281849,0.9361252483071815,50,3,linen
이세준,Overwhelming Cosmic Loneliness,20000000.0,18199577.306696795,0.09002113466516025,0.9099788653348397,200,3,canvas
현서,달의 산책,1800000.0,2248915.0810428034,0.24939726724600186,1.2493972672460019,15,2,canvas
서민정,널뛰기 (Hurdler),3200000.0,2613514.591721132,0.18327669008714628,0.8167233099128537,40,2,canvas
이예란,비밀을 지키면 떠나지 않겠다고 약속했잖아,900000.0,1289332.431295062,0.4325915903278466,1.4325915903278466,10,2,canvas
문형태,Four-leaf Clover,20000000.0,5106765.142360203,0.7446617428819898,0.25533825711801017,40,4,canvas
김현수,내일의 기다림,6600000.0,4785578.226045223,0.27491238999314804,0.725087610006852,50,3,paper
원나래,Banana Flowers(Instagram plants),2200000.0,2890596.2517475486,0.3139073871579766,1.3139073871579767,25,2,paper
김민석,Still Life,3000000.0,3497714.2580862055,0.1659047526954018,1.1659047526954018,50,2,canvas
황소영,색을 묻다,600000.0,837202.3382258274,0.3953372303763791,1.3953372303763791,6,1,other
류아영,희망의 빛(boy),1100000.0,1538497.8333135515,0.3986343939214105,1.3986343939214105,8,2,canvas
김수민,늦여름 습기,380000.0,694153.7490566191,0.8267203922542609,1.8267203922542607,4,1,other
김옥정,별과 별과 별,600000.0,1080652.679604086,0.8010877993401435,1.8010877993401435,6,2,paper
노한솔,굳-보이,4200000.0,8050612.016735936,0.9168123849371275,1.9168123849371275,80,2,paper
이채민,Hiding,2500000.0,3509608.156031955,0.403843262412782,1.4038432624127821,50,2,canvas
나빈,자두 (Triptych),1450000.0,1297010.532866255,0.1055099773336173,0.8944900226663827,3,3,canvas
태우,와유산수(臥遊山水)_가수청호도(家守 靑虎圖),4000000.0,3014273.4127379726,0.24643164681550686,0.7535683531844931,15,4,canvas
김제언,Guardian,3000000.0,2097090.1106979628,0.3009699631006791,0.699030036899321,15,3,canvas
임희조,마실,1200000.0,982583.4641428824,0.18118044654759802,0.818819553452402,6,2,canvas
김명진,몽유산수66,900000.0,3043648.205145699,2.381831339050777,3.381831339050777,10,3,canvas
최민혜,Two Image Hunters with Orchid,3800000.0,3078432.6987106875,0.18988613191824014,0.8101138680817599,40,2,canvas
로지박,사물 속에 담긴 사유,1600000.0,2636885.39581588,0.648053372384925,1.648053372384925,15,3,panel
풀림,부숴지는 구름 꽃,4000000.0,4248834.3419719115,0.06220858549297787,1.062208585492978,50,2,canvas
다안,From the silence,6000000.0,3910400.5922054327,0.3482665679657612,0.6517334320342388,50,2,canvas
정재인,기억 없는 심지,5200000.0,7612491.79400221,0.46394072961580957,1.4639407296158096,100,2,other
이준원,Totem,3000000.0,4482144.447973418,0.49404814932447266,1.4940481493244726,40,4,canvas
노보,Untitled,3000000.0,2730431.568395795,0.0898561438680684,0.9101438561319316,15,3,canvas
김수영,Farm,2000000.0,2931996.7223428795,0.4659983611714398,1.4659983611714398,30,2,canvas
슈니따 ,주지 않아도 자라는,1400000.0,1915650.93421294,0.36832209586638576,1.3683220958663858,20,2,paper
박산하,All this love,570000.0,1764084.2250171537,2.094884605293252,3.094884605293252,8,1,paper
한차연,해질녘 숲속에서,1200000.0,2308750.3424897967,0.9239586187414972,1.9239586187414972,10,1,canvas
김서울,Scalar and Vector No.14,28000000.0,12245126.673661942,0.5626740473692163,0.4373259526307836,120,2,canvas
김진희,Under the Same Roof,29000000.0,12414966.44457442,0.5718977088077787,0.4281022911922214,150,3,canvas
박신영,기억의 지층,7500000.0,4226244.735329031,0.4365007019561292,0.5634992980438708,25,2,paper
최지원,역전,22000000.0,7290554.984323784,0.6686111370761916,0.33138886292380837,120,2,canvas
순이지,SUGAR CANDY MOUNTAIN #12,9000000.0,3948846.3700689366,0.5612392922145626,0.4387607077854374,50,3,paper
이목하,얼굴벗기기,57728000.0,3598927.566296436,0.9376571582889337,0.062342841711066306,50,2,other
김정욱,untitled,79376000.0,15150664.640265113,0.8091278895350595,0.19087211046494043,80,3,paper
최혜경,Miracle Hole,43296000.0,11515379.588024918,0.7340313288057807,0.2659686711942193,100,3,canvas
최수인,Sweating bullets 1,15000000.0,8997348.106748184,0.40017679288345437,0.5998232071165456,80,2,canvas
홍성준,Layers of the air 58,10000000.0,5415804.184862187,0.45841958151378126,0.5415804184862187,50,3,canvas
유정현,Discontinuous_40_깊은 숲,18000000.0,17162356.59205015,0.04653574488610278,0.9534642551138972,100,4,canvas
정수정,Blue Beam,12000000.0,8904515.389757335,0.2579570508535554,0.7420429491464446,100,3,canvas
전현선,밤의 창문,20436360.0,8744048.09156289,0.5721328019489337,0.4278671980510663,100,2,canvas
권소진,푸른 알을 찾는 사람들,8000000.0,8902680.194443487,0.11283502430543584,1.112835024305436,100,3,canvas
이예린,Squeeze,1200000.0,1832268.8120228888,0.5268906766857406,1.5268906766857406,8,3,canvas
박신영,살과 숨,7500000.0,2548994.921524524,0.6601340104633967,0.33986598953660324,20,2,paper
루카스 카이저(Lucas Kaiser),Plug-in,8000000.0,2406886.1164362542,0.6991392354454682,0.30086076455453176,30,3,paper
남석우,A TRICK SHOW,500000.0,612936.4424344322,0.22587288486886445,1.2258728848688645,2,1,canvas
남석우,a musical instrument that can be handled,1600000.0,2400137.383743734,0.5000858648398339,1.5000858648398339,20,1,other
이시현,ama,3600000.0,4519510.755093024,0.2554196541925067,1.2554196541925067,80,1,canvas
이시현,untitled,800000.0,1240645.3852665855,0.5508067315832319,1.550806731583232,15,1,canvas
김도훈,Camouflage 132,13800000.0,9294231.253882805,0.3265049816026953,0.6734950183973047,100,3,canvas
윤필현,Perfume For Transparent People,5195520.0,3478637.847506641,0.33045434383725963,0.6695456561627404,50,2,canvas
KUN,Bear in the car 3,23091200.0,11140012.397036394,0.5175645961649289,0.4824354038350711,60,3,paper
하정우,무제,60000000.0,22627796.93693648,0.6228700510510586,0.3771299489489413,100,3,canvas
장헝,Story NO.3,28864000.0,2351423.9953749795,0.9185343682311884,0.08146563176881165,8,3,canvas
김기라,A fire in the house,4500000.0,5987296.926783997,0.3305104281742215,1.3305104281742215,40,4,paper
김기라,Modernity,1500000.0,1423132.937826631,0.05124470811557941,0.9487552918844206,5,4,paper
김기라,20세기 #02 영웅들_괴물,4000000.0,3714536.431657052,0.07136589208573697,0.928634107914263,25,4,paper
순재,24-50-3,6000000.0,3596819.945392269,0.4005300091012885,0.5994699908987116,50,1,canvas
순재,24-100-1,10000000.0,7481072.035145247,0.25189279648547525,0.7481072035145248,100,1,canvas
시즈,Sugar Dice Mornings,1800000.0,1883966.885246412,0.04664826958133994,1.04664826958134,12,2,canvas
