_track6_row_id,artist_key,artist_name_ko,artist_name_ko_orig,medium_category,support_category,has_depth,is_3d_candidate,is_high_price_candidate,is_extreme_aspect_ratio,price_krw,ln_price_krw
20654,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1073640.0,13.88656530232964
20655,dagyeong yun,윤다그영,윤다그영,mixed_media,canvas,True,False,False,False,2111400.0,14.562861792537731
20656,dagyeong yun,윤다그영,윤다그영,mixed_media,canvas,True,False,False,False,3443100.0,15.05188278633687
20657,dagyeong yun,윤다그영,윤다그영,mixed_media,canvas,True,False,False,False,2125200.0,14.569376473558926
20658,dagyeong yun,윤다그영,윤다그영,mixed_media,canvas,True,False,False,False,6706800.0,15.71863249504579
20659,dagyeong yun,윤다그영,윤다그영,mixed_media,canvas,True,False,False,False,1440720.0,14.180653546593836
20660,dagyeong yun,윤다그영,윤다그영,mixed_media,canvas,True,False,False,False,841800.0,13.643297735318606
20661,dagyeong yun,윤다그영,윤다그영,mixed_media,canvas,True,False,False,False,418140.0,12.94357158366062
20662,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1072260.0,13.885279128518896
20663,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,5892600.0,15.58920788437392
20664,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,12351000.0,16.329247589420152
20665,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,5892600.0,15.58920788437392
20666,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,2553000.0,14.75277969622362
20667,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,2980800.0,14.90770227882946
20668,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,8652600.0,15.973370411778216
20669,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,8652600.0,15.973370411778216
20671,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,5892600.0,15.58920788437392
20672,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,2275620.0,14.637763100710847
20673,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,2275620.0,14.637763100710847
20674,jooyeon lee,이주연,이주연,other,canvas,True,False,False,False,7245000.0,15.79582213373692
20675,soilart jo dojoong,소일아트 조도중,소일아트조도중,other,canvas,True,False,False,False,7148400.0,15.78239911340478
20676,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1323420.0,14.095729853034689
20677,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,910800.0,13.72207861317172
20678,seunghwan kim,김승환,김승환,oil,canvas,True,False,False,False,5144640.0,15.453465953956732
20679,myeongjin choi,최명진,최명진,mixed_media,canvas,True,False,False,False,3215400.0,14.983462324710995
20680,matthew anderson,매튜 앤더슨,매튜안데르선,oil,panel,True,False,False,False,6210000.0,15.64167145390966
20681,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,912180.0,13.723592618002936
20682,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1177140.0,13.97859832564293
20683,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,1176477.0,13.978034937447198
20685,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,1035000.0,13.849911984681606
20687,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,1035000.0,13.849911984681606
20688,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,2097600.0,14.556304391991572
20691,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,2696754.0,14.80755938550347
20692,kim eunsong,김은송,김은송,oil,canvas,True,False,False,False,2511600.0,14.736430558222091
20693,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,2683989.0,14.802814678704657
20695,matthew anderson,매튜 앤더슨,매튜안데르선,oil,canvas,True,False,False,False,12516600.0,16.34256632126043
20696,joong hyun park,박중현,박중현,oil,canvas,True,False,False,False,2814799.0,14.85040141380944
