artist_key,n_works,raw_coef,shrunk_coef
yona oh,44,6.270550172207713,6.316026292252054
yong eun lee,1,6.3180588498328305,6.649856598840677
yong sang yoo,1,7.575178212426238,6.859376492606245
yongchul kim b 1982,6,8.747161401677545,7.824004468479682
yongho park,102,6.377501512694254,6.393329299420796
yonghyeon yang,3,6.313548046277095,6.565215610255315
yongju jang,2,7.255156586135541,6.870199130783187
yongseok oh b 1974,1,7.577185932924767,6.859711112689332
yoo choong yeul,1,7.491314332666066,6.845399179312882
yoo geun taek,6,8.881806769014535,7.89744739611804
yoo mi seon,34,8.247505940858645,8.051186736728337
yoo suntai,44,8.263588117483636,8.10569301862227
yoo suzy,38,6.212075347789682,6.270696371144632
yoo youngkuk,4,6.978673346211448,6.832863792006336
yoojin hong,3,6.56839680283215,6.66078389396346
yoojin kim,20,6.492943343293962,6.5375979043636185
yoomi ha,1,5.977075809655883,6.59302609214452
yoomi kim,9,5.293498080112087,5.801611676015716
yoon a kim,11,6.219007274835725,6.3743850479002635
yoon dong chun,26,8.231864429306647,7.987405029199486
yoon hyun jin,1,6.502290170873973,6.680561819014201
yoon hyup,1,7.449938187084232,6.838503155049243
yoon jong seok,2,7.344473281359836,6.895718186561558
yoon junghee,13,8.668743089543439,8.126374494848664
yoon jungho,4,5.557473778900761,6.201219539868252
yoon suk one,35,6.624565006102419,6.636021398919897
yoonkyung kim,61,6.660333387279168,6.664566929806674
yoonzoo jung,8,6.301868934378013,6.461233247556565
you hyeonkyeong,4,7.135962126869168,6.9027699167431
youjeong kang,8,6.815848392309519,6.777528298591337
youkyoung min,9,6.980604639548233,6.88618017851038
youn ji hyun,3,5.746957779518645,6.352744260220896
youn miock,7,6.674401592597102,6.691824324282578
youn sung park,8,7.781488218809114,7.371768191821857
youn yeoreum,2,6.497543597644056,6.653738276928478
young eun kang,1,6.527746014609743,6.68480445963683
young hak lee,2,9.454998423421014,7.498725370007608
young hee lee,12,7.112185872148542,6.995724188764337
young hwa kim,7,6.755054925732525,6.738872101944909
young ja kim,28,8.019099885979493,7.821693259110213
young jae,7,6.595380593939985,6.645728741732594
young jun han,9,6.198833329967341,6.383612908065522
young lee,5,7.3209393124411015,7.018577730541674
young min baek,1,7.5660883283704905,6.857861511930287
young park,186,7.150389380978973,7.139023589556547
young rim choi,1,9.028717462423948,7.10163303427253
young soon kim,9,6.53851143430829,6.601977403713275
young sung kim,61,8.941457553325796,8.772878659031589
youngb yune,4,7.819857719964624,7.206723513674414
youngeun jang,1,6.677580500641022,6.709776873975375
younghwan park,7,6.421655330853094,6.544389004931908
youngjin han,3,6.260041661020962,6.545150715784264
youngjin jun,131,6.771205652897892,6.769183979947318
youngjin jun 전영진,41,6.7768522620295535,6.77026138013963
youngjin kim,2,5.962380310820455,6.500834480693164
youngjoo an,4,6.650288385028576,6.686914920369504
youngju joung,2,8.491929361051447,7.223562780759161
youngmi choi,5,7.008025211403654,6.86212068002295
youngmi kim,2,6.9100302824966,6.771591615457775
youngnam cho,34,8.180444903152688,7.992723267959042
youngran kim,7,6.59405752962726,6.644956954216838
youngseon you,67,6.4852767258951225,6.501314185808117
youngshin you,2,6.0420972835648366,6.523610758620129
youngsoo kim,62,6.702776960872035,6.703779885332499
youngwhoon go,2,6.769444165539159,6.731424153469936
youngwook choi 최영욱,3,8.360847121025543,7.3329527632859826
younju jung,10,6.534173110470352,6.594854123194316
younkyung cho,4,7.54786788493916,7.085839142551986
youyeong seo,21,6.487362665918704,6.531372951057847
youyoung oh,5,5.831121897032803,6.273669022837525
yu jae jang,3,5.725789630361545,6.344806204286983
yu rim kang,1,7.037841955833878,6.769820449840851
yuin,3,5.603587103994265,6.298980256899253
yuji lee,2,6.7175371381269136,6.716593574209294
yujin ju,9,6.884515716010286,6.824408727664557
yujin l,37,6.380079161641261,6.420095469617569
yuli choi,10,6.781914316796761,6.760014927411922
yumi han,1,6.1426913777783305,6.620628686831594
yumi jang,6,6.225426175003438,6.448512526657442
yun hyong keun,3,7.671679452822534,7.074514887709855
yun jeong choi,5,6.0690412786877594,6.392628713665003
yun woo seung,3,7.9298700650066465,7.171336367278896
yung tae won,3,7.352034661112029,6.954648090818415
yunju park,5,5.929967731669434,6.32309194015584
yunjung choi,10,6.411926444347603,6.51335634577915
yunseob kim,19,6.325620627511366,6.406994694413633
yunsung lee,7,6.624810306814624,6.662896074242799
yura seo,14,7.600781693887687,7.36800128724415
yurim seong,64,6.300842892745083,6.330942404041979
yuseong choe,8,6.098753202738822,6.336238951163216
yutaka hashimoto,3,7.116610436141128,6.866364006454327
yuui gim,72,7.010785886890856,6.991657981809778
yuya saito,3,6.6861456383444935,6.704939707280589
yuyeol byeon,2,6.054283711352555,6.527092595130905
yuyun hwang,4,6.973409249203574,6.83052419333617
yuzu kim,5,5.3799619618786245,6.048089055260435
yyth,2,6.594405214645376,6.681413024643141
zain,2,6.244229301966534,6.581362763877757
zaycoke,2,6.8476106740188865,6.753757441607001
zen forest hyer yung,3,6.990034785943934,6.818898137630379
zenakim 젠아킴,7,6.13122648948314,6.374972180799435
zeyah ren,5,6.385868707856722,6.551042428249484
zhanna kan,34,6.92304635949705,6.896529665797717
zikseong jeong,66,7.777032046088117,7.7023267011975625
zin lim,47,7.466138177773592,7.394030290357117
zinna kim,17,6.398379981793793,6.4706154742593505
zinna yoo,215,6.464911915197174,6.4706233750481985
zong hyuk kim,5,5.05964287320295,5.887929510922598
zzozzi,9,4.757835533199158,5.4572571815716895
가이 야나이,12,9.753025062965882,8.859845970517753
게오르그 바젤리츠,1,10.324474347044633,7.317592515042644
김윤신,3,9.272514990184408,7.6748282142205575
김주리,5,6.5203523136923796,6.618284231167313
대쉴 맨리,1,8.325079156475235,6.984359983281077
데이비드 살레,3,9.839968248618206,7.887623186133231
도미닉 체임버스,1,8.075012302764568,6.9426821743293
동훈 이,22,6.18980540120086,6.287288872949265
딩이,19,8.665426600596048,8.25934108977234
루시 레이븐,1,7.942045014863213,6.920520959679074
루이 르 킴,1,10.626331365944022,7.3679020181925425
리우웨이,1,9.69040261829113,7.211913893583727
리자 루,1,10.28242112830703,7.310583645253043
마고 월로위츠,2,8.836178265816566,7.321919610692051
마리아 타니구치,3,7.928020524906241,7.170642789741244
마사코 미키,2,8.37110215412254,7.189040721636616
마샤 융비르스,4,10.344910295901919,8.328969102979878
매카서 비니온,5,10.234020064882111,8.475118106762178
맨디 엘 사예,2,8.489725377075985,7.2229330710518855
메건 루니,1,8.914737949531848,7.082636448790513
묘빈 김,6,6.656824432525729,6.683820667124146
박경화 kyung hwa park,2,5.5434398245810215,6.3811371989104675
빌리 장제와,1,9.049752463831942,7.105138867840529
사라 커닝햄,2,9.246932983946351,7.439278101586276
샘 폴스,2,8.776134197525947,7.304764162609018
세이디 바네티,1,9.14895443788263,7.12167253018231
순이지,31,6.385752354626021,6.431650103794941
쉬라제 후쉬아리,1,10.08289340445752,7.277329024611459
스기모토 히로시,1,9.931916413732006,7.252166192823872
아리아나 파파데메트로풀로스,1,8.323987393944112,6.984178022859223
아츠시 카가,5,10.41764729448741,8.566931721564828
안나박,1,7.711786578506453,6.882144553619614
알렉스 프레이저,1,7.969460980230954,6.925090287240365
엠버 토플리세크,7,8.449676155914407,7.72740115288434
영곤 김,4,6.908596668197205,6.801718601777783
옌 페이밍,1,9.534439230248509,7.185919995576623
오종,2,6.466519284735181,6.644874187525942
올리버 비어,2,8.76725041951763,7.302225940320928
올리비에 밀라구,5,10.630455083127883,8.673335615885065
우쟈루,4,8.63923669473369,7.57089194690511
이동혁,3,7.435275033097607,6.985863230313006
이미 크뇌벨,1,9.081127575087326,7.110368053049759
이진주,3,8.508304243998992,7.388249184401026
이케무라 레이코,1,9.14029873644271,7.120229913275657
임노식,4,5.861411418859785,6.336302935405596
정수정,5,7.824046010856293,7.2701310797492695
제이디 차,2,8.495319274985832,7.224531327597556
조안 스나이더,3,9.933425306378213,7.922669582793234
조이솝,4,6.519879144384017,6.628955257860811
주디 시카고,3,8.59301608054884,7.420016123107219
주연수,9,7.482654743746091,7.208926674066147
줄리 버팔로헤드,1,8.079510050096207,6.943431798884572
쥘 드 발랭쿠르,1,8.972798760684006,7.092313250649206
카데르 아티아,3,10.928966936396492,8.295997694050088
캐서린 오피,1,9.063260633910952,7.107390229520363
캐서린 와그너,1,7.890925010669109,6.912000958980056
코린 폰 레부자,7,7.919356190660617,7.418047839819629
클레어 로하스,3,10.45414663457261,8.117940080866132
태미 응우옌,1,9.230062003223406,7.135190457739107
테레시타 페르난데즈,1,10.687468863039685,7.378091601041819
토드 그레이,2,8.54919796625273,7.239925239388099
토머스 프리드먼,1,9.800165668038781,7.230207735208335
필립 티미슐,6,7.646381087512958,7.223578842571726
