,,,,,,,,,,,,,
,idx,재료(지지체),도구(매체),건수,,idx,수집 재료,건수,난트 기준 재료(지지체),난트 기준 도구(매체),비고,비고2,비고3
,,,,,,109,돌,71,기타,기타,분류 미매칭,학습 제외(입체),
,,,,,,110,한지에 유채,70,한지,유채,,,
,,,,,,111,종이에 색연필,70,종이,색연필,,,
,,,,,,112,"나무에 조각, 채색",70,목재,채색,,,
,,,,,,113,패널에 혼합재료,69,목재,혼합재료,,,
,,,,,,114,carved on wood,69,없음,조각,,,
,,,,,,115,"마포에 유채, 아크릴",69,캔버스,"유채, 아크릴릭",,,
,,,,,,116,carved on stone,66,없음,조각,,,
,,,,,,117,캔버스 패널에 유채,65,캔버스,유채,,,
,,,,,,118,C-프린트,64,종이,디지털 C-프린트,,,
,,,,,,119,종이에 마커,63,종이,마커,,,
,,,,,,120,캔버스에유채,62,캔버스,유채,,,
,,,,,,121,혼합재료(아트상품),62,기타,혼합재료,,학습 제외,
,,,,,,122,mixed media with Korean paper on canvas,61,"한지, 캔버스",혼합재료,,,
,,,,,,123,드라이포인트,61,종이,드라이포인트,,,
,,,,,,124,장지에 분채,61,장지,채색,,,
,,,,,,125,나무에 각,60,없음,목공예,,,
,,,,,,126,"캔버스에 유채, 혼합재료",58,캔버스,"유채, 혼합재료",,,
,,,,,,127,ink and color on Korean paper,58,종이,수묵,,,
,,,,,,128,세리그라프,57,종이,실크스크린,,,
,,,,,,129,mixed media with Korean mulberry paper,57,종이,혼합재료,,,
,,,,,,130,archival pigment print,56,종이,디지털 피그먼트 프린트,분류 미매칭,,
,,,,,,131,oil on linen,55,캔버스,유채,,,
,,,,,,132,세라믹,55,없음,도자,,,
,,,,,,133,"캔버스에 미디움 아크릴, 숯",55,캔버스,"아크릴릭, 숯",,,
,,,,,,134,돌에 조각,54,기타,기타,분류 미매칭,학습 제외(입체),
,,,,,,135,Acrylic on canvas,54,캔버스,아크릴릭,,,
,,,,,,136,캔버스에 종이 콜라주,52,캔버스,혼합재료,,,
,,,,,,137,"캔버스에 아크릴, 오일파스텔",51,캔버스,"오일 파스텔, 아크릴릭",,,
,,,,,,138,oil on Korean paper,50,한지,유채,,,
,,,,,,139,한지에 채색,49,한지,채색,,,
,,,,,,140,마포에 혼합재료,49,캔버스,혼합재료,,,
,,,,,,141,나무에 채색,49,목재,채색,,,
,,,,,,142,레진,48,없음,조각,,,
,,,,,,143,디지털프린트,47,종이,디지털 프린트,,,
,,,,,,144,캔버스에 숯,46,캔버스,숯,,,
,,,,,,145,렌티큘러,46,종이,렌티큘러 프린트,,,
,,,,,,146,"캔버스에 아크릴, 유채",45,캔버스,"유채, 아크릴릭",,,
,,,,,,147,뮤지엄보드에 스크린프린트,45,보드,실크스크린,,,
,,,,,,148,젤라틴 실버 프린트,45,종이,젤라틴 실버 프린트,,,
,,,,,,149,oil and acrylic on canvas,44,캔버스,"유채, 아크릴릭",,,
,,,,,,150,닥종이에 수묵,44,종이,수묵,,,
,,,,,,151,oil on paper,44,종이,유채,,,
,,,,,,152,"캔버스에 아크릴, 오일스틱",44,캔버스,"아크릴릭, 오일스틱",,,
,,,,,,153,pigment print,43,종이,"디지털 피그먼트 프린트, 디아섹",분류 미매칭,,
,,,,,,154,acrylic medium and black charcoal on canvas,43,캔버스,"아크릴릭, 목탄",,,
,,,,,,155,디지털 프린트,43,종이,디지털 프린트,,,
,,,,,,156,견본자수,42,비단,섬유,,,
,,,,,,157,리넨에 유채,42,캔버스,유채,,,
,,,,,,158,스테인리스에 우레탄 도장,42,없음,조각,,,
,,,,,,159,종이에 콩테,41,종이,콘테,,,
,,,,,,160,acrylic and oil on canvas,41,캔버스,"아크릴릭, 유채",,,
,,,,,,161,oil and mixed media on canvas,41,캔버스,"유채, 혼합재료",,,
,,,,,,162,marble,41,없음,조각,,,
,,,,,,163,oil and acrylic on hemp cloth,40,캔버스,"유채, 아크릴릭",,,
,,,,,,164,아이패드 드로잉 프린트,40,종이,디지털 페인팅 프린트,,,
,,,,,,165,"디지털 프린트, 실크스크린",39,종이,실크스크린,,,
,,,,,,166,종이부조에 채색,39,종이,채색,,,
,,,,,,167,비단에 수묵담채 Ink and Color on Silk,39,비단,수묵,,,
,,,,,,168,woodcut print,39,종이,목판화,,,
,,,,,,169,"캔버스에 한지 콜라주, 아크릴",39,"캔버스, 한지","아크릴릭, 한지 콜라주",,,
,,,,,,170,디지털 잉크젯 프린트,39,종이,디지털 프린트,,,
,,,,,,171,"스크린프린트, 박",38,종이,실크스크린,,,
,,,,,,172,비단에 자수,38,비단,섬유,,,
,,,,,,173,종이에먹,38,종이,수묵,,,
,,,,,,174,패널 위 캔버스에 유채,38,캔버스,유채,,,
,,,,,,175,젤라틴 실버프린트,38,종이,젤라틴 실버 프린트,,,
,,,,,,176,종이에수묵,37,종이,수묵,,,
,,,,,,177,화강암,36,없음,조각,,,
,,,,,,178,스크린 프린트,36,종이,실크스크린,,,
,,,,,,179,석판본,36,기타,기타,분류 미매칭,학습 제외,
,,,,,,180,"에칭, 아쿼틴트",35,종이,"에칭, 아쿼틴트",,2개 일 수 있음,
,,,,,,181,-,35,기타,기타,분류 미매칭,학습 제외 ,
,,,,,,182,활자본,35,기타,기타,분류 미매칭,학습 제외 ,
,,,,,,183,"종이에 펜, 수채",34,종이,수채,,,
,,,,,,184,"알루미늄, 레진, 우레탄 도장",33,금속,조각,,,
,,,,,,185,한지에 아크릴,33,한지,아크릴릭,,,
,,,,,,186,color on ceramic,33,기타,채색,,학습 제외 ,
,,,,,,187,"charcoal, acrylic and UV-varnish on canvas",33,캔버스,"아크릴릭, 목탄",,,
,,,,,,188,"serigraph, embossed and textured UV printing",33,종이,실크스크린,,,
,,,,,,189,카드보드에 아크릴,33,보드,아크릴릭,,,
,,,,,,190,패널에 아크릴,32,패널,아크릴릭,,,
,,,,,,191,mezzotint,32,종이,메조틴트,,,
,,,,,,192,"석판화, 엠보싱",32,종이,"석판, 엠보싱",,,
,,,,,,193,믹소그라피아,32,종이,믹소그라피,,,
,,,,,,194,종이에 목탄,31,종이,목탄,,,
,,,,,,195,견본묵서,31,비단,수묵,,,
,,,,,,196,한지에 수묵,31,한지,수묵,,,
,,,,,,197,다색 목판화,30,종이,목판,,,
