artist_name_ko,medium_category,support_category,has_depth,depth_cm,width_cm,height_cm,log_area,estimated_ho,orientation,price_krw_unified,ln_price_krw_unified
정현철,other,panel,1,50.0,88.0,54.0,8.466320861042481,22.11,landscape,6900000.0,15.747031969567487
최수앙,oil,other,1,78.0,128.0,41.0,8.565602330623925,25.07,landscape,33120000.0,17.315647887481333
황규민,other,other,1,15.0,88.0,22.0,7.568379267836522,8.62,landscape,828000.0,13.626768433367396
김성민,other,metal,1,20.0,51.0,46.0,7.76046702921342,9.81,square,5520000.0,15.52388841825328
최문석,other,panel,1,30.0,75.0,65.0,8.491875383431948,22.86,landscape,8970000.0,16.00939623403498
백진기,other,other,0,0.0,59.0,59.0,8.15507488781144,15.16,square,3450000.0,15.053884789007542
조윤경,other,other,1,4.0,35.0,35.0,7.110696122978827,5.78,square,2760000.0,14.830741237693331
조윤경,other,other,1,10.0,44.0,44.0,7.568379267836522,8.62,square,3091200.0,14.944069923000336
황규민,other,other,1,22.0,33.0,19.0,6.440946540632921,3.13,landscape,455400.0,13.028931432611776
정현철,other,paper,1,12.0,35.0,45.0,7.362010551259734,7.29,portrait,4140000.0,15.236206345801495
노준,other,other,1,13.0,44.0,33.0,7.280697195384741,6.71,landscape,11040000.0,16.217035598813222
백진기,other,other,1,15.0,30.0,50.0,7.313220387090301,6.94,portrait,5244000.0,15.472595123865728
함도하,acrylic,other,1,40.0,25.0,30.0,6.620073206530356,3.72,portrait,11040000.0,16.217035598813222
김규,other,panel,1,94.0,95.3,94.0,9.10032459293016,43.57,square,5244000.0,15.472595123865728
최수앙,oil,other,1,54.0,27.0,49.0,7.187657164114956,6.11,portrait,22080000.0,16.91018277937317
최수앙,oil,other,1,32.0,122.0,29.0,8.17131687471973,15.46,landscape,22080000.0,16.91018277937317
김아라,pigment,canvas,1,23.9,162.2,23.9,8.262708600618778,17.23,landscape,5200000.0,15.464169183551656
강민기,other,other,1,23.0,37.0,36.0,7.194436851100335,6.15,square,6900000.0,15.747031969567487
정현철,other,panel,1,67.0,116.0,56.0,8.778941881841513,29.59,landscape,11040000.0,16.217035598813222
이수홍,other,other,1,4.0,56.0,52.0,7.976595409316577,11.62,square,13800000.0,16.440179150127435
감성빈,oil,panel,1,20.0,92.0,30.0,7.9229859587111955,11.13,landscape,6000000.0,15.60727002719233
이병호,other,other,1,35.0,40.0,110.0,8.389359819906353,19.97,portrait,8832000.0,15.993892047499012
정현철,other,other,1,53.0,70.0,90.0,8.748304912379623,28.88,portrait,11040000.0,16.217035598813222
이규영,pigment,other,1,40.0,40.0,35.0,7.24422751560335,6.47,landscape,1794000.0,14.39995832160088
이수홍,other,other,1,8.0,35.7,133.5,8.469252166625898,22.19,portrait,38640000.0,17.46979856730859
김재규,other,other,1,31.0,26.0,22.0,6.349138991379798,2.79,landscape,4140000.0,15.236206345801495
