width_cm,height_cm,depth_cm,area_cm2,log_area,aspect_ratio,has_depth,is_3d_candidate,medium_category,support_category,medium_support_bucket,is_extreme_aspect_ratio,is_training_candidate,_track6_row_id,collected_material_raw,nant_support,nant_tool,nant_material_note,nant_material_match_method,nant_material_idx
91.0,91.0,4.0,8281.0,9.0217190130337,1.0,True,False,mixed_media,canvas,mixed_media__canvas,False,True,68,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
72.7,116.8,4.0,8491.36,9.0468044549336,1.6066024759284732,True,False,mixed_media,canvas,mixed_media__canvas,False,True,70,"acrylic, gesso, oil, gouache, enamel",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
73.0,91.0,3.0,6643.0,8.80131894766524,1.2465753424657535,True,False,mixed_media,canvas,mixed_media__canvas,False,True,71,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
116.8,72.7,2.7,8491.36,9.0468044549336,1.6066024759284732,True,False,mixed_media,canvas,mixed_media__canvas,False,True,75,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
219.0,91.0,3.0,19929.0,9.899931236333352,2.4065934065934065,True,False,mixed_media,canvas,mixed_media__canvas,False,True,76,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
50.0,50.0,2.7,2500.0,7.824046010856292,1.0,True,False,oil,linen,oil__linen,False,True,77,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
180.0,180.0,4.0,32400.0,10.38591370178042,1.0,True,False,mixed_media,linen,mixed_media__linen,False,True,78,"gesso, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
193.0,97.0,2.8,18721.0,9.837401167408268,1.9896907216494848,True,False,oil,linen,oil__linen,False,True,79,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
81.0,100.1,3.0,8108.099999999999,9.000618840993614,1.2358024691358025,True,False,oil,canvas,oil__canvas,False,True,80,oil,캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
20.0,15.0,1.7,300.0,5.703782474656201,1.3333333333333333,True,False,mixed_media,canvas,mixed_media__canvas,False,True,81,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
20.0,20.0,1.6,400.0,5.991464547107982,1.0,True,False,mixed_media,canvas,mixed_media__canvas,False,True,82,"acrylic, gesso, enamel, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
20.0,20.0,3.5,400.0,5.991464547107982,1.0,True,False,mixed_media,canvas,mixed_media__canvas,False,True,83,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
100.0,65.0,4.0,6500.0,8.779557455883728,1.5384615384615383,True,False,mixed_media,canvas,mixed_media__canvas,False,True,84,"acrylic, enamel, gesso, gouache, oil",캔버스,유화,rule_based_material_parse,rule_material_parse,1.0
