candidate_label,scenario_count,validation_avg_delta_MdAPE_vs_current_pp258,validation_avg_delta_MAPE_vs_current_pp258,validation_avg_delta_p95_vs_current_pp258,validation_avg_MdAPE_win_rate,validation_avg_MAPE_win_rate,validation_avg_p95_win_rate,validation_avg_all3_win_rate,validation_avg_stability_score,fixed_validation_MdAPE,fixed_validation_MAPE,fixed_validation_p95_APE,fixed_validation_RMSE_log,fixed_validation_delta_MdAPE_vs_current_pp258,fixed_validation_delta_MAPE_vs_current_pp258,fixed_validation_delta_p95_vs_current_pp258,fixed_test_MdAPE,fixed_test_MAPE,fixed_test_p95_APE,fixed_test_RMSE_log,fixed_test_delta_MdAPE_vs_current_pp258,fixed_test_delta_MAPE_vs_current_pp258,fixed_test_delta_p95_vs_current_pp258,validation_replacement_score,fixed_confirmation_score,is_reference_baseline,passes_validation_gate,passes_fixed_confirmation
min1_route_w800_risk_q70_altlower_gap005,6,-0.025352012510798966,-0.03172031180084479,-0.09328522054343548,0.9948717948717949,0.9980769230769231,0.9814102564102565,0.9743589743589745,-0.03172031180084479,0.09819631660739556,0.1760506342945596,0.5712913918014471,0.2969240958757376,-0.02451099795731239,-0.02957792568508194,-0.0665967182926156,0.10432612122375012,0.23696892455837243,0.7394162014152162,0.3761514359971161,-0.03665027940277771,-0.03291927122077343,-0.0679085058762301,-0.02957792568508194,-0.03291927122077343,False,True,True
min1_route_w850_risk_q70_altgap_ge005,6,-0.028858956148580705,-0.03165303830263542,-0.08663845790023765,1.0,0.9967948717948718,0.9653846153846154,0.9628205128205128,-0.03165303830263542,0.09440661499063376,0.17608986812363028,0.5772661746139477,0.2972077179102465,-0.02830069957407419,-0.029538691856011268,-0.06062193548011496,0.103393186957145,0.23917579157682448,0.7740983466158026,0.37834125555765624,-0.03758321366938283,-0.03071240420232138,-0.033226360675643773,-0.029538691856011268,-0.03071240420232138,False,True,True
min1_route_w850_risk_q70_altgap_ge010,6,-0.028837210846090644,-0.03164670894931013,-0.08694659694260326,1.0,0.9967948717948718,0.9653846153846154,0.9628205128205128,-0.03164670894931013,0.09440661499063376,0.17609345944620408,0.5772661746139477,0.29722014229615934,-0.02830069957407419,-0.02953510053343747,-0.06062193548011496,0.103393186957145,0.23924940222218932,0.7740983466158026,0.37831356754200174,-0.03758321366938283,-0.030638793556956534,-0.033226360675643773,-0.02953510053343747,-0.030638793556956534,False,True,True
min1_route_w800_risk_q60_altlower_gap005,6,-0.027252790670567642,-0.0316477190589354,-0.09453225264508419,0.9948717948717949,0.9980769230769231,0.9820512820512821,0.975,-0.0316477190589354,0.09440661499063376,0.17610570651839286,0.5712913918014471,0.2972309443243585,-0.02830069957407419,-0.029522853461248694,-0.0665967182926156,0.10432612122375012,0.23696623004691034,0.7394162014152162,0.376223450482883,-0.03665027940277771,-0.03292196573223552,-0.0679085058762301,-0.029522853461248694,-0.03292196573223552,False,True,True
min1_route_w850_low_confidence,6,-0.029119958098548875,-0.03159662284181829,-0.08810346685194788,1.0,0.9967948717948718,0.966025641025641,0.9634615384615385,-0.03159662284181829,0.09403317473087637,0.1761347977427429,0.5772661746139477,0.29720663093676264,-0.028674139833831574,-0.029493762236898646,-0.06062193548011496,0.10345108947495675,0.23918445728688087,0.7740983466158026,0.3783459327654585,-0.03752531115157108,-0.030703738492264987,-0.033226360675643773,-0.029493762236898646,-0.030703738492264987,False,True,True
min1_route_w800_risk_q70_altlower_gap010,6,-0.025350031237958193,-0.031568216557865146,-0.09301321808475684,0.9948717948717949,0.9980769230769231,0.9807692307692308,0.9737179487179487,-0.031568216557865146,0.09819631660739556,0.17617621708677372,0.5712913918014471,0.29697398812965264,-0.02451099795731239,-0.029452342892867828,-0.0665967182926156,0.1056244418332164,0.23713441802031263,0.7394162014152162,0.37618819594509334,-0.03535195879331143,-0.03275377775883323,-0.0679085058762301,-0.029452342892867828,-0.03275377775883323,False,True,True
min1_route_w800_risk_q60_altlower_gap010,6,-0.027250422842020533,-0.0314847005875933,-0.09405328155739724,0.9948717948717949,0.9974358974358974,0.9814102564102565,0.9743589743589745,-0.0314847005875933,0.09440661499063376,0.17624037240967533,0.5712913918014471,0.2972974671650248,-0.02830069957407419,-0.029388187569966223,-0.0665967182926156,0.1056244418332164,0.2371368125680942,0.7394162014152162,0.37622961922549275,-0.03535195879331143,-0.03275138321105164,-0.0679085058762301,-0.029388187569966223,-0.03275138321105164,False,True,True
min1_route_w800_risk_q50_altlower_gap010,6,-0.027593232514982274,-0.03148220769594475,-0.09405328155739724,0.9948717948717949,0.9974358974358974,0.9814102564102565,0.9743589743589745,-0.03148220769594475,0.09440661499063376,0.1762439833122481,0.5712913918014471,0.29730006032702505,-0.02830069957407419,-0.02938457666739344,-0.0665967182926156,0.1056244418332164,0.23701238491019652,0.7394162014152162,0.3770102963858079,-0.03535195879331143,-0.032875810868949334,-0.0679085058762301,-0.02938457666739344,-0.032875810868949334,False,True,True
min1_route_w850_risk_q50_altgap_ge020,6,-0.029907197672974648,-0.03127953056004996,-0.0866912936517823,1.0,0.9967948717948718,0.9653846153846154,0.9628205128205128,-0.03127953056004996,0.09403317473087637,0.17627596459024092,0.5772661746139477,0.2974332698889739,-0.028674139833831574,-0.029352595389400632,-0.06062193548011496,0.10214893786813835,0.24118242843878823,0.7740983466158026,0.3804634842479991,-0.03882746275838948,-0.028705767340357624,-0.033226360675643773,-0.029352595389400632,-0.028705767340357624,False,True,True
min1_route_w850_risk_q70_altgap_ge020,6,-0.028286494504280946,-0.03139735175337267,-0.08655793839168546,1.0,0.9967948717948718,0.9647435897435898,0.9621794871794872,-0.03139735175337267,0.09460317463791797,0.1762894162266858,0.5772661746139477,0.2970637481142888,-0.02810413992678998,-0.029339143752955738,-0.06062193548011496,0.103393186957145,0.2395388706372103,0.7740983466158026,0.378501962690328,-0.03758321366938283,-0.030349325141935557,-0.033226360675643773,-0.029339143752955738,-0.030349325141935557,False,True,True
min1_route_w850_risk_q60,6,-0.031516956157717615,-0.0313585235961501,-0.08667727088884015,1.0,0.9967948717948718,0.9634615384615385,0.9608974358974359,-0.0313585235961501,0.09076732209208287,0.17631435996214206,0.5772661746139477,0.297753884547978,-0.03193999247262508,-0.029314200017499487,-0.06062193548011496,0.10175292424743253,0.24092472674196352,0.7740983466158026,0.3794013470033581,-0.039223476379095304,-0.028963469037182332,-0.033226360675643773,-0.029314200017499487,-0.028963469037182332,False,True,True
min1_route_w850_risk_q60_altgap_ge010,6,-0.031590858292947895,-0.03130799958529128,-0.08687003239666441,1.0,0.9967948717948718,0.9641025641025641,0.9615384615384616,-0.03130799958529128,0.09065272755456642,0.17635460500235844,0.5772661746139477,0.2977624283642969,-0.03205458701014152,-0.029273954977283106,-0.06062193548011496,0.10175929436455336,0.2410075314981601,0.7740983466158026,0.37937527071486826,-0.03921710626197447,-0.028880664280985763,-0.033226360675643773,-0.029273954977283106,-0.028880664280985763,False,True,True
min1_route_w850_risk_q60_altgap_ge005,6,-0.031642033629944964,-0.03129490162620563,-0.0866019249646488,1.0,0.9967948717948718,0.9634615384615385,0.9608974358974359,-0.03129490162620563,0.09065272755456642,0.17636575550698852,0.5772661746139477,0.29778261662672406,-0.03205458701014152,-0.02926280447265303,-0.06062193548011496,0.10175292424743253,0.24098305121625788,0.7740983466158026,0.37946908728232537,-0.039223476379095304,-0.02890514456288798,-0.033226360675643773,-0.02926280447265303,-0.02890514456288798,False,True,True
min1_route_w800_risk_q50,6,-0.030143905567289925,-0.031062669206662303,-0.08758357736442264,0.9980769230769231,0.9967948717948718,0.9666666666666667,0.9621794871794872,-0.031062669206662303,0.0917642538304383,0.17649112916195955,0.5772661746139477,0.29722467613769027,-0.03094306073426964,-0.029137430817681997,-0.06062193548011496,0.10330170558126321,0.2399389992644101,0.7586513952371932,0.379116386433644,-0.03767469504526462,-0.029949196514735765,-0.04867331205425318,-0.029137430817681997,-0.029949196514735765,False,True,True
min1_route_w800_risk_q50_altgap_ge005,6,-0.03012295986857833,-0.0310323126561854,-0.08752751324553475,0.9980769230769231,0.9967948717948718,0.9666666666666667,0.9621794871794872,-0.0310323126561854,0.0917642538304383,0.17650387021213151,0.5772661746139477,0.29725688946872114,-0.03094306073426964,-0.029124689767510037,-0.06062193548011496,0.10345108947495675,0.23999197571937314,0.7586513952371932,0.3790937126148182,-0.03752531115157108,-0.029896220059772716,-0.04867331205425318,-0.029124689767510037,-0.029896220059772716,False,True,True
min1_route_w800_risk_q70_altlower_gap020,6,-0.024901114184079448,-0.03112008672247209,-0.0930649518005718,0.9935897435897436,0.9974358974358974,0.9807692307692308,0.9724358974358974,-0.03112008672247209,0.09819631660739556,0.17653742433903843,0.5712913918014471,0.2968078553643566,-0.02451099795731239,-0.029091135640603116,-0.0665967182926156,0.10573512980995432,0.2373590726808728,0.7394162014152162,0.37620184308341637,-0.03524127081657351,-0.03252912309827305,-0.0679085058762301,-0.029091135640603116,-0.03252912309827305,False,True,True
min1_route_w800_risk_q70,6,-0.02806159148860204,-0.03108891776867086,-0.08741780807276249,0.9987179487179487,0.9974358974358974,0.9666666666666667,0.9634615384615385,-0.03108891776867086,0.09440661499063376,0.17655252440293653,0.5772661746139477,0.2969480927457897,-0.02830069957407419,-0.029076035576705017,-0.06062193548011496,0.1056244418332164,0.2389376904546278,0.7586513952371932,0.3776012200943436,-0.03535195879331143,-0.03095050532451807,-0.04867331205425318,-0.029076035576705017,-0.03095050532451807,False,True,True
min1_route_w800_risk_q70_altgap_ge005,6,-0.02808772870553596,-0.031053709015189408,-0.08737458263399221,0.9987179487179487,0.9974358974358974,0.9666666666666667,0.9634615384615385,-0.031053709015189408,0.09440661499063376,0.17657998961808682,0.5772661746139477,0.2969933055523331,-0.02830069957407419,-0.029048570361554726,-0.06062193548011496,0.1056244418332164,0.238972746857004,0.7586513952371932,0.3775814469592096,-0.03535195879331143,-0.030915448922141847,-0.04867331205425318,-0.029048570361554726,-0.030915448922141847,False,True,True
