candidate_label,eval_split,n,MdAPE,MAPE,p95_APE,RMSE_log,delta_vs_current_pp258_MdAPE,delta_vs_current_pp258_MAPE,delta_vs_current_pp258_p95_APE,delta_vs_current_pp258_RMSE_log
min1_route_w650_risk_q80_althigher_gap010,test,607,0.10659775415481275,0.24048180669454813,0.7791959634055454,0.3774652983384734,-0.03437864647171508,-0.029406389084597723,-0.02812874388590092,-0.01998853121279698
min1_route_w650_risk_q70_althigher_gap010,test,607,0.10659775415481275,0.24048856562191284,0.7791959634055454,0.3774170632871626,-0.03437864647171508,-0.029399630157233014,-0.02812874388590092,-0.020036766264107775
min1_route_w800_risk_q50_altgap_ge020,test,607,0.10498664344245205,0.24050330112325197,0.7586513952371932,0.37924491656962495,-0.03598975718407578,-0.02938489465589389,-0.04867331205425318,-0.018208912981645453
min1_route_w800_spread_ge060,test,607,0.10330170558126321,0.2405552559183187,0.7586513952371932,0.3787795694238691,-0.03767469504526462,-0.029332939860827162,-0.04867331205425318,-0.01867426012740131
min1_route_w650_spread_ge140,test,607,0.10705866019596119,0.24057822051866382,0.7793830079017572,0.3772567428957584,-0.03391774043056664,-0.02930997526048204,-0.027941699389689156,-0.02019708665551201
min1_route_w850_risk_q50,test,607,0.10175292424743253,0.24058001943200988,0.7740983466158026,0.38029836131186207,-0.039223476379095304,-0.029308176347135978,-0.033226360675643773,-0.017155468239408334
min1_route_w650_risk_q50_althigher_gap010,test,607,0.10705866019596119,0.24062331575650656,0.7791959634055454,0.37698009074369415,-0.03391774043056664,-0.0292648800226393,-0.02812874388590092,-0.020473738807576247
min1_route_w650_risk_q80_althigher_gap005,test,607,0.10705866019596119,0.24062770222529956,0.7791959634055454,0.37751451423705507,-0.03391774043056664,-0.0292604935538463,-0.02812874388590092,-0.019939315314215333
min1_route_w850_risk_q50_altgap_ge005,test,607,0.10175292424743253,0.24064080143502717,0.7740983466158026,0.38035744890120315,-0.039223476379095304,-0.029247394344118688,-0.033226360675643773,-0.017096380650067244
min1_route_w750_very_high_price,test,607,0.10654696791845651,0.24068192146101336,0.7791959634055454,0.3777914617946173,-0.03442943270807132,-0.029206274318132497,-0.02812874388590092,-0.019662367756653087
min1_route_w650_risk_q60_althigher_gap005,test,607,0.10705866019596119,0.24069453831983453,0.7791959634055454,0.377409893041178,-0.03391774043056664,-0.029193657459311323,-0.02812874388590092,-0.020043936510092397
min1_route_w800_risk_q80_althigher_gap020,test,607,0.10705866019596119,0.240696817480092,0.7847419795553487,0.3778654988402878,-0.03391774043056664,-0.029191378299053855,-0.022582727736097596,-0.019588330710982593
min1_route_w650_risk_q70_althigher_gap005,test,607,0.10705866019596119,0.24070690531830688,0.7791959634055454,0.3774400624480091,-0.03391774043056664,-0.029181290460838977,-0.02812874388590092,-0.020013767103261304
min1_route_w800_risk_q60_altgap_ge020,test,607,0.10498664344245205,0.2407131732944795,0.7586513952371932,0.3785248973934267,-0.03598975718407578,-0.029175022484666358,-0.04867331205425318,-0.018928932157843692
min1_route_w850_qwidth_ge120,test,607,0.10214893786813835,0.24071734004593384,0.7782541461510122,0.38054274381607,-0.03882746275838948,-0.029170855733212014,-0.02907056114043416,-0.016911085735200393
min1_route_w800_risk_q80_althigher_gap010,test,607,0.10659775415481275,0.24073188816236568,0.7847419795553487,0.37788722013358333,-0.03437864647171508,-0.029156307616780175,-0.022582727736097596,-0.019566609417687064
min1_route_w850_risk_q50_altgap_ge010,test,607,0.10175929436455336,0.2407584792881201,0.7740983466158026,0.38032231573069464,-0.03921710626197447,-0.029129716491025748,-0.033226360675643773,-0.01713151382057576
min1_route_w800_high_plus_price,test,607,0.10498664344245205,0.2407828029842806,0.7586513952371932,0.37940835037282983,-0.03598975718407578,-0.029105392794865265,-0.04867331205425318,-0.01804547917844057
min1_route_w800_risk_q80_althigher_gap005,test,607,0.10659775415481275,0.2407892506136498,0.7847419795553487,0.37791986434725633,-0.03437864647171508,-0.02909894516549605,-0.022582727736097596,-0.01953396520401407
min1_route_w775_risk_q70_althigher_gap005,test,607,0.10705866019596119,0.2407934359647184,0.7814626507472144,0.37795681641141526,-0.03391774043056664,-0.029094759814427468,-0.025862056544231904,-0.019497013139855135
min1_route_w775_risk_q70_althigher_gap010,test,607,0.10705866019596119,0.24079728751686924,0.7814626507472144,0.37807930358512004,-0.03391774043056664,-0.029090908262276616,-0.025862056544231904,-0.019374525966150358
min1_route_w775_risk_q70_althigher_gap020,test,607,0.10659775415481275,0.24080247322806983,0.7791959634055454,0.37807731272754,-0.03437864647171508,-0.029085722551076026,-0.02812874388590092,-0.019376516823730372
min1_route_w625_spread_ge180,test,607,0.10705866019596119,0.24084976838359576,0.7794760841091758,0.37745691120121977,-0.03391774043056664,-0.029038427395550098,-0.02784862318227055,-0.01999691835005063
min1_route_w650_risk_q50_althigher_gap005,test,607,0.10705866019596119,0.24085783137302966,0.7791959634055454,0.3770085568513401,-0.03391774043056664,-0.0290303644061162,-0.02812874388590092,-0.020445272699930295
min1_route_w750_risk_q50_althigher_gap020,test,607,0.10659775415481275,0.2408725796701953,0.7791959634055454,0.3779468348832157,-0.03437864647171508,-0.029015616108950565,-0.02812874388590092,-0.019506994668054722
min1_route_w850_risk_q60,test,607,0.10175292424743253,0.24092472674196352,0.7740983466158026,0.3794013470033581,-0.039223476379095304,-0.028963469037182332,-0.033226360675643773,-0.018052482547912307
min1_route_w750_risk_q60_althigher_gap020,test,607,0.10659775415481275,0.2409297747259291,0.7791959634055454,0.37797938518168356,-0.03437864647171508,-0.02895842105321675,-0.02812874388590092,-0.01947444436958684
min1_route_w625_gap_ge015,test,607,0.11016382049008427,0.24095465978617198,0.7774101560898115,0.3764186593730504,-0.030812580136443557,-0.02893353599297388,-0.029914551201634887,-0.021035170178219986
min1_route_w850_risk_q60_altgap_ge005,test,607,0.10175292424743253,0.24098305121625788,0.7740983466158026,0.37946908728232537,-0.039223476379095304,-0.02890514456288798,-0.033226360675643773,-0.01798474226894503
min1_route_w750_risk_q50_althigher_gap005,test,607,0.10654696791845651,0.24100706314997572,0.7791959634055454,0.3781012998274151,-0.03442943270807132,-0.028881132629170136,-0.02812874388590092,-0.019352529723855316
min1_route_w850_risk_q60_altgap_ge010,test,607,0.10175929436455336,0.2410075314981601,0.7740983466158026,0.37937527071486826,-0.03921710626197447,-0.028880664280985763,-0.033226360675643773,-0.018078558836402137
min1_route_w625_risk_q80_althigher_gap020,test,607,0.10659775415481275,0.24102355107038786,0.7791959634055454,0.3777546963676685,-0.03437864647171508,-0.02886464470875799,-0.02812874388590092,-0.01969913318360189
min1_route_w850_spread_ge100,test,607,0.10186493463626753,0.2410250201542638,0.7740983466158026,0.37964055241665456,-0.0391114659902603,-0.028863175624882054,-0.033226360675643773,-0.017813277134615835
min1_route_w625_risk_q60_althigher_gap020,test,607,0.10705866019596119,0.24103597992766349,0.7791959634055454,0.3776381915829566,-0.03391774043056664,-0.02885221585148237,-0.02812874388590092,-0.019815637968313815
min1_route_w625_risk_q70_althigher_gap020,test,607,0.10659775415481275,0.24105348432177337,0.7791959634055454,0.37768388734618136,-0.03437864647171508,-0.028834711457372486,-0.02812874388590092,-0.01976994220508904
min1_route_w750_risk_q60_althigher_gap005,test,607,0.10654696791845651,0.24109152581676355,0.7791959634055454,0.3781337354796353,-0.03442943270807132,-0.02879666996238231,-0.02812874388590092,-0.019320094071635097
min1_route_w750_risk_q50_althigher_gap010,test,607,0.10659775415481275,0.2411379655754459,0.7791959634055454,0.3781538880847658,-0.03437864647171508,-0.02875023020369996,-0.02812874388590092,-0.0192999414665046
min1_route_w775_very_high_price,test,607,0.10654696791845651,0.24115666851794718,0.7814626507472144,0.3780784776637722,-0.03442943270807132,-0.02873152726119868,-0.025862056544231904,-0.019375351887498227
min1_route_w850_risk_q50_altgap_ge020,test,607,0.10214893786813835,0.24118242843878823,0.7740983466158026,0.3804634842479991,-0.03882746275838948,-0.028705767340357624,-0.033226360675643773,-0.016990345303271315
min1_route_w750_risk_q60_althigher_gap010,test,607,0.10659775415481275,0.24119516063117966,0.7791959634055454,0.37818642056227825,-0.03437864647171508,-0.0286930351479662,-0.02812874388590092,-0.019267408988992152
min1_route_w625_risk_q50_althigher_gap020,test,607,0.10705866019596119,0.24122139294246198,0.7791959634055454,0.3770371691064405,-0.03391774043056664,-0.02866680283668388,-0.02812874388590092,-0.020416660444829926
min1_route_w800_risk_q70_althigher_gap010,test,607,0.10659775415481275,0.24123651176385538,0.7847419795553487,0.3783787595088542,-0.03437864647171508,-0.028651684015290474,-0.022582727736097596,-0.01907507004241621
min1_route_w800_risk_q70_althigher_gap020,test,607,0.10659775415481275,0.24130401501055998,0.7847419795553487,0.3784334826741909,-0.03437864647171508,-0.028584180768585876,-0.022582727736097596,-0.019020346877079486
min1_route_w800_risk_q70_althigher_gap005,test,607,0.10705866019596119,0.2413059081155963,0.7847419795553487,0.37831084405679316,-0.03391774043056664,-0.02858228766354956,-0.022582727736097596,-0.019142985494477238
min1_route_w625_spread_ge140,test,607,0.10705866019596119,0.24130984735431776,0.7794760841091758,0.37747682712614916,-0.03391774043056664,-0.028578348424828093,-0.02784862318227055,-0.019977002425121237
min1_route_w625_risk_q80_althigher_gap010,test,607,0.10705866019596119,0.24135408330845134,0.7791959634055454,0.37785712418621914,-0.03391774043056664,-0.02853411247069451,-0.02812874388590092,-0.01959670536505126
min1_route_w850_risk_q60_altgap_ge020,test,607,0.10214893786813835,0.241395374267102,0.7740983466158026,0.37955101452200435,-0.03882746275838948,-0.028492821512043853,-0.033226360675643773,-0.01790281502926605
min1_route_w625_risk_q60_althigher_gap010,test,607,0.10705866019596119,0.24143089643012028,0.7791959634055454,0.3777368611877203,-0.03391774043056664,-0.028457299349025578,-0.02812874388590092,-0.01971696836355008
min1_route_w625_risk_q80_althigher_gap005,test,607,0.10705866019596119,0.24146027245650561,0.7791959634055454,0.37790292703538164,-0.03391774043056664,-0.02842792332264024,-0.02812874388590092,-0.019550902515888757
min1_route_w625_risk_q70_althigher_gap010,test,607,0.10705866019596119,0.24146269517326696,0.7791959634055454,0.3777882427867229,-0.03391774043056664,-0.028425500605878895,-0.02812874388590092,-0.019665586764547494
min1_route_w850_risk_q80_althigher_gap020,test,607,0.10659775415481275,0.24155720672684025,0.791362101574755,0.37848605169271515,-0.03437864647171508,-0.028330989052305605,-0.01596260571669139,-0.018967777858555246
