candidate_label,alt_candidate,gate_name,gate_kind,threshold,gap,validation_route_share,test_route_share,validation_n,validation_MdAPE,validation_MAPE,validation_p95_APE,validation_RMSE_log
min1_route_w850_risk_q90_altgap_ge020,min1_w850_huber_refit_partial,risk_q90_altgap_ge020,risk_ge_altgap_ge,0.6845020210860583,0.02,0.07321772639691715,0.07248764415156507,519,0.09682369510224355,0.17696334931740068,0.5712913918014471,0.297614336037285
min1_route_w850_risk_q90_altlower_gap020,min1_w850_huber_refit_partial,risk_q90_altlower_gap020,risk_ge_altlower_gap,0.6845020210860583,0.02,0.04431599229287091,0.04612850082372323,519,0.0988127568668821,0.17769432883094913,0.5712913918014471,0.2980779926285944
min1_route_w850_risk_q90_althigher_gap020,min1_w850_huber_refit_partial,risk_q90_althigher_gap020,risk_ge_althigher_gap,0.6845020210860583,0.02,0.028901734104046242,0.026359143327841845,519,0.09887911415020467,0.17767605586011734,0.5712913918014471,0.2968528213152645
min1_route_w850_qwidth_ge120,min1_w850_huber_refit_partial,qwidth_ge120,qwidth_ge,1.2,,0.6878612716763006,0.7397034596375618,519,0.09238321517875378,0.17673376087309356,0.5786835981503664,0.2998448032154822
min1_route_w850_qwidth_ge140,min1_w850_huber_refit_partial,qwidth_ge140,qwidth_ge,1.4,,0.4720616570327553,0.5436573311367381,519,0.09460317463791797,0.17738325280186962,0.5786835981503664,0.2995625594137795
min1_route_w850_qwidth_ge160,min1_w850_huber_refit_partial,qwidth_ge160,qwidth_ge,1.6,,0.27552986512524086,0.3130148270181219,519,0.0964251703208934,0.1773827661144944,0.5712913918014471,0.29770205020984686
min1_route_w850_spread_ge060,min1_w850_huber_refit_partial,spread_ge060,spread_ge,0.06,,0.6011560693641619,0.6013179571663921,519,0.09076732209208287,0.176754660154335,0.5728224865097898,0.298566403307497
min1_route_w850_spread_ge100,min1_w850_huber_refit_partial,spread_ge100,spread_ge,0.1,,0.3583815028901734,0.4102141680395387,519,0.09403317473087637,0.17758412149963335,0.5772661746139477,0.29866446438237626
min1_route_w850_spread_ge140,min1_w850_huber_refit_partial,spread_ge140,spread_ge,0.14,,0.24084778420038536,0.24382207578253706,519,0.09440661499063376,0.17758838591444226,0.5772661746139477,0.2984686774904749
min1_route_w850_spread_ge180,min1_w850_huber_refit_partial,spread_ge180,spread_ge,0.18,,0.13872832369942195,0.15485996705107083,519,0.09440661499063376,0.17737939093187963,0.5772661746139477,0.29798957885107835
min1_route_w850_gap_ge015,min1_w850_huber_refit_partial,gap_ge015,gap_ge,0.015,,0.651252408477842,0.6540362438220758,519,0.09495397668557637,0.17793078522639452,0.5729209629682591,0.29903241047691176
min1_route_w850_low_confidence,min1_w850_huber_refit_partial,low_confidence,low_confidence,,,0.33140655105973027,0.3640856672158155,519,0.09403317473087637,0.1761347977427429,0.5772661746139477,0.29720663093676264
min1_route_w850_very_high_price,min1_w850_huber_refit_partial,very_high_price,very_high_price,,,0.21772639691714837,0.21911037891268534,519,0.09819631660739556,0.17748828207634773,0.5712913918014471,0.2975900794809509
min1_route_w850_high_plus_price,min1_w850_huber_refit_partial,high_plus_price,high_plus_price,,,0.6358381502890174,0.6243822075782537,519,0.09615899622372805,0.17833490094763935,0.5684175971452119,0.29840614887718303
